area_id,name,address,neighbourhood,image_url,latitude,longitude
1,Mission Bay Apartments,718 LONG BRIDGE ST #800,Mission Bay,https://images.unsplash.com/photo-1571264781039-6e8ebc5bb92d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=667&q=80,37.77131354,-122.3944362
1,Tenderloin Apartments,201 TURK ST #218,Tenderloin,https://images.unsplash.com/photo-1469022563428-aa04fef9f5a2?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=753&q=80,37.78280907,-122.4129985
1,Outer Mission Apartments,53 A HARRINGTON ST,Outer Mission,https://images.unsplash.com/photo-1569167419644-26705408a98f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,37.72549964,-122.4356074
1,Castro/Upper Market Apartments,508 CHURCH ST,Castro/Upper Market,https://images.unsplash.com/photo-1451976426598-a7593bd6d0b2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=750&q=80,37.76273903,-122.428641
1,Hayes Valley Apartments,77 VAN NESS AVE #505,Hayes Valley, https://images.unsplash.com/photo-1569533621206-6bc34e583aa0?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=564&q=80,37.77609727,-122.4196852
1,Potrero Hill Apartments,2080 03RD ST,Potrero Hill,https://images.unsplash.com/photo-1571264781039-6e8ebc5bb92d?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=667&q=80,37.76330176,-122.3891
1,Outer Richmond Apartments,865 37TH AVE,Outer Richmond,https://images.unsplash.com/photo-1451976426598-a7593bd6d0b2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=750&q=80,37.77266596,-122.4974238
1,Bayview Hunters Point Apartments,160 CASHMERE ST #C,Bayview Hunters Point,https://images.unsplash.com/photo-1552817445-d4a407caf7ea?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=634&q=80,37.73676775,-122.3846219
1,Potrero Hill Apartments,451 KANSAS ST #400,Potrero Hill,https://images.unsplash.com/photo-1569167419644-26705408a98f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,37.76401123,-122.4032414
1,South of Market Apartments,328 TEHAMA ST #610,South of Market,https://images.unsplash.com/photo-1569167419644-26705408a98f?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=750&q=80,37.78233678,-122.4029064
